Index,Level,Experience,Experience Gap,UnknownFlag,Details
0,1,0,0,False,
1,2,300,300,False,
2,3,700,400,False,
3,4,1300,600,False,
4,5,2200,900,False,
5,6,3500,1300,False,
6,7,5300,1800,False,
7,8,7700,2400,False,
8,9,10800,3100,False,
9,10,12000,1200,True,Easy Zone
10,11,15100,3100,False,
11,12,19000,3900,False,
12,13,23800,4800,False,
13,14,29600,5800,False,
14,15,36500,6900,False,
15,16,44500,8000,False,
16,17,47000,2500,True,Easy Zone
17,18,56000,9000,False,
18,19,66000,10000,False,
19,20,71000,5000,True,Easy Zone
20,21,81000,10000,False,
21,22,93000,12000,False,
22,23,107000,14000,False,
23,24,123000,16000,False,
24,25,141000,18000,False,
25,26,150000,9000,True,Easy Zone
26,27,170000,20000,False,
27,28,192000,22000,False,
28,29,216000,24000,False,
29,30,228000,12000,True,Easy Zone
30,31,252000,24000,False,
31,32,279000,27000,False,
32,33,309000,30000,False,
33,34,342000,33000,False,
34,35,358000,16000,True,Easy Zone
35,36,394000,36000,False,
36,37,433000,39000,False,
37,38,475000,42000,False,
38,39,520000,45000,False,
39,40,542000,22000,True,Easy Zone
40,41,592000,50000,False,
41,42,652000,60000,False,
42,43,722000,70000,False,
43,44,732000,10000,True,Easy Zone
44,45,802000,70000,False,
45,46,872000,70000,False,
46,47,942000,70000,False,
47,48,1022000,80000,False,
48,49,1122000,100000,False,
49,50,1272000,150000,False,
50,51,1432000,160000,False,
51,52,1602000,170000,False,
52,53,1782000,180000,False,
53,54,1972000,190000,False,
54,55,2172000,200000,False,
55,56,2412000,240000,False,
56,57,2702000,290000,False,
57,58,3052000,350000,False,
58,59,3472000,420000,False,
59,60,3992000,520000,False,
60,61,4642000,650000,False,
